target,mass,alpha1_reference_signal_yield,alpha_internal_unit,internal_signal_yield
Run3,12.0,26483054.96460724,9.439998532424134e-07,25.0
Run3,15.0,16401082.239715576,1.524289655682718e-06,24.999999999999996
Run3,20.0,6560660.873267651,3.8105917197863508e-06,25.0
Run3,25.0,2660456.386422634,9.396883981103743e-06,24.999999999999996
Run3,30.0,1104714.8884339333,2.263027344135872e-05,25.0
Run3,35.0,520068.0386965275,4.807063333993519e-05,25.0
Run3,40.0,254753.7671598643,9.813397571589934e-05,24.999999999999996
Run3,45.0,133240.72042550147,0.00018763032742665322,25.0
Run3,50.0,75171.51277248561,0.00033257279357494236,25.000000000000004
Run3,55.0,41707.15380516648,0.0005994175511660812,24.999999999999996
Run3,60.0,24661.922737963498,0.0010137084713802984,25.0
Run3,65.0,14691.55894260481,0.0017016574005295796,25.0
Run3,70.0,9780.469497596845,0.002556114510263821,25.0
