 <<< Combine >>> 
 <<< v11.0.0 >>>
>>> Random number generator seed is 123456
>>> Method used is MultiDimFit
Set Range of Parameter CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix To : (0,3)
Doing initial fit: 
 POI: CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix= 6.44069e-05 -> [0,3]
Point 0/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.0245902
Point 1/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.0737705
Point 2/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.122951
Point 3/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.172131
Point 4/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.221311
Point 5/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.270492
Point 6/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.319672
Point 7/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.368852
Point 8/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.418033
Point 9/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.467213
Point 10/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.516393
Point 11/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.565574
Point 12/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.614754
Point 13/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.663934
Point 14/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.713115
Point 15/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.762295
Point 16/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.811475
Point 17/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.860656
Point 18/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.909836
Point 19/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 0.959016
Point 20/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.0082
Point 21/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.05738
Point 22/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.10656
Point 23/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.15574
Point 24/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.20492
Point 25/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.2541
Point 26/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.30328
Point 27/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.35246
Point 28/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.40164
Point 29/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.45082
Point 30/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.5
Point 31/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.54918
Point 32/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.59836
Point 33/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.64754
Point 34/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.69672
Point 35/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.7459
Point 36/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.79508
Point 37/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.84426
Point 38/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.89344
Point 39/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.94262
Point 40/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 1.9918
Point 41/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.04098
Point 42/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.09016
Point 43/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.13934
Point 44/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.18852
Point 45/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.2377
Point 46/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.28689
Point 47/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.33607
Point 48/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.38525
Point 49/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.43443
Point 50/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.48361
Point 51/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.53279
Point 52/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.58197
Point 53/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.63115
Point 54/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.68033
Point 55/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.72951
Point 56/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.77869
Point 57/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.82787
Point 58/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.87705
Point 59/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.92623
Point 60/61 CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix = 2.97541
