diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run2Run3/fitDiagnostics.FitDiag_Run2Run3_alpha_M15.root, at 2026-08-31 21:23:44.449286 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': 'pulls_Run2Run3_alpha_M15.root', 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                             [0.00, 100.00]                              n/a                 +0.21 +10.48 78.69       +1.00   +6192.302
QCDscale_ren_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.74 (+0.00sig, 0.00)!    !+0.01 +/- 0.83 (+0.00sig, 0.00)!       +0.45     +29.615
CMS_NPS26009_LightJetStat_DY_BJetOS_2023     0.000000 +/- 0.000000    !+0.00 +/- 0.54 (+0.00sig, 0.00)!    !-0.00 +/- 0.54 (-0.00sig, 0.00)!       -0.18      -7.917
CMS_NPS26009_NFStat_DY_BJetOS_2018           0.000000 +/- 0.000000    !+0.00 +/- 0.81 (+0.00sig, 0.00)!    !-0.00 +/- 0.83 (-0.00sig, 0.00)!       -0.17     -10.956
CMS_NPS26009_LightJetStat_DY_BJetOS_2016postVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.52 (+0.00sig, 0.00)!    !-0.00 +/- 0.53 (-0.00sig, 0.00)!       -0.16      -6.894
CMS_NPS26009_NFStat_DY_BJetOS_2017           0.000000 +/- 0.000000    !+0.00 +/- 0.80 (+0.00sig, 0.00)!    !-0.00 +/- 0.83 (-0.00sig, 0.00)!       -0.15      -9.560
CMS_NPS26009_LightJetStat_DY_BJetOS_2018     0.000000 +/- 0.000000    !+0.00 +/- 0.85 (+0.00sig, 0.00)!    !-0.00 +/- 0.86 (-0.00sig, 0.00)!       -0.15      -9.858
CMS_NPS26009_NFStat_DY_BJetOS_2016preVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.79 (+0.00sig, 0.00)!    !-0.00 +/- 0.80 (-0.00sig, 0.00)!       -0.14      -8.879
CMS_NPS26009_LightJetStat_DY_BJetOS_2016preVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.79 (+0.00sig, 0.00)!    !-0.00 +/- 0.80 (-0.00sig, 0.00)!       -0.14      -8.942
CMS_NPS26009_LightJetStat_DY_BJetOS_2017     0.000000 +/- 0.000000    !+0.00 +/- 0.83 (+0.00sig, 0.00)!    !-0.00 +/- 0.86 (-0.00sig, 0.00)!       -0.13      -8.792
CMS_NPS26009_topmass_ttbar_BJetOS            0.000000 +/- 0.000000    !-0.00 +/- 0.98 (-0.00sig, 0.00)!    !-0.00 +/- 0.98 (-0.00sig, 0.00)!       -0.11      -8.286
CMS_NPS26009_bckgShape_QCD_BJetOS_2017       383.647850 +/- 0.000000    !+383.65 +/- 52.43 (+0.00sig, 0.22)!    !+383.56 +/- 52.92 (-0.00sig, 0.22)!       -0.11    -460.880
CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix     0.000000 +/- 0.000000    !+0.00 +/- 0.71 (+0.00sig, 0.00)!    !-0.00 +/- 0.72 (-0.00sig, 0.00)!       -0.11      -6.477
CMS_NPS26009_NFStat_DY_BJetOS_2022EE         0.000000 +/- 0.000000    !+0.00 +/- 0.78 (+0.00sig, 0.00)!    !+0.00 +/- 0.78 (+0.00sig, 0.00)!       -0.10      -6.225
pdf_alphas                                   0.000000 +/- 0.000000    !-0.00 +/- 0.98 (-0.00sig, 0.00)!    !-0.00 +/- 0.98 (-0.00sig, 0.00)!       -0.09      -7.281
QCDscale_fac_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !+0.00 +/- 0.98 (+0.00sig, 0.00)!       +0.09      +6.980
