diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run2Run3/fitDiagnostics.FitDiag_Run2Run3_alpha_M20.root, at 2026-08-26 01:53:15.554707 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': 'pulls_Run2Run3_alpha_M20.root', 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                            [-2.00, 100.00]                              n/a                 +0.54 +11.35 18.36       +1.00    +336.912
CMS_NPS26009_pdf_NNPDF31                     0.000000 +/- 0.000000    !+0.00 +/- 0.29 (+0.00sig, 0.00)!    !-0.01 +/- 0.44 (-0.00sig, 0.00)!       -0.74      -6.041
CMS_NPS26009_LightJetStat_DY_BJetOS_2023     0.000000 +/- 0.000000    !-0.00 +/- 0.44 (-0.00sig, 0.00)!    !-0.01 +/- 0.52 (-0.00sig, 0.00)!       -0.57      -5.425
QCDscale_ren_ttbar                           0.000000 +/- 0.000000    !-0.00 +/- 0.82 (-0.00sig, 0.00)!    !+0.03 +/- 0.97 (+0.00sig, 0.00)!       +0.53      +9.492
CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix     0.000000 +/- 0.000000    !-0.00 +/- 0.60 (-0.00sig, 0.00)!    !-0.01 +/- 0.67 (-0.00sig, 0.00)!       -0.47      -5.783
CMS_NPS26009_LightJetStat_DY_BJetOS_2022EE     0.000000 +/- 0.000000    !-0.00 +/- 0.85 (-0.00sig, 0.00)!    !-0.01 +/- 0.91 (-0.00sig, 0.00)!       -0.35      -5.855
CMS_NPS26009_NFStat_DY_BJetOS_2022           0.000000 +/- 0.000000    !+0.00 +/- 0.22 (+0.00sig, 0.00)!    !-0.00 +/- 0.23 (-0.00sig, 0.00)!       -0.34      -1.468
CMS_NPS26009_NFStat_DY_BJetOS_2022EE         0.000000 +/- 0.000000    !-0.00 +/- 0.90 (-0.00sig, 0.00)!    !-0.01 +/- 0.94 (-0.00sig, 0.00)!       -0.28      -4.813
pdf_alphas                                   0.000000 +/- 0.000000    !-0.00 +/- 0.98 (-0.00sig, 0.00)!    !-0.01 +/- 0.99 (-0.00sig, 0.00)!       -0.18      -3.294
CMS_NPS26009_topmass_ttbar_BJetOS            0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !-0.01 +/- 0.99 (-0.00sig, 0.00)!       -0.17      -3.153
CMS_NPS26009_NFStat_DY_BJetOS_2023BPix       0.000000 +/- 0.000000    !-0.00 +/- 0.93 (-0.00sig, 0.00)!    !-0.01 +/- 0.95 (-0.00sig, 0.00)!       -0.14      -2.405
CMS_NPS26009_btag_fixedWP_bc_correlated_13p6TeV     0.000000 +/- 0.000000    !-0.00 +/- 0.98 (-0.00sig, 0.00)!    !-0.01 +/- 0.99 (-0.00sig, 0.00)!       -0.13      -2.318
QCDscale_fac_ttbar                           0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       +0.10      +1.881
