diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run2Run3/fitDiagnostics.FitDiag_Run2Run3_alpha_M25.root, at 2026-08-26 02:01:03.786653 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': 'pulls_Run2Run3_alpha_M25.root', 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                            [-2.00, 100.00]                              n/a                   +0.12 +6.88 7.90       +1.00     +62.445
CMS_NPS26009_pdf_NNPDF31                     0.000000 +/- 0.000000    !+0.00 +/- 0.41 (+0.00sig, 0.00)!    !-0.01 +/- 0.57 (-0.00sig, 0.00)!       -0.69      -3.079
CMS_NPS26009_LightJetStat_DY_BJetOS_2023     0.000000 +/- 0.000000    !+0.00 +/- 0.39 (+0.00sig, 0.00)!    !-0.01 +/- 0.47 (-0.00sig, 0.00)!       -0.57      -2.128
QCDscale_ren_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.85 (+0.00sig, 0.00)!    !-0.01 +/- 0.97 (-0.00sig, 0.00)!       +0.50      +3.850
CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix     0.000000 +/- 0.000000    !+0.00 +/- 0.58 (+0.00sig, 0.00)!    !-0.01 +/- 0.65 (-0.00sig, 0.00)!       -0.45      -2.316
CMS_NPS26009_LightJetStat_DY_BJetOS_2022EE     0.000000 +/- 0.000000    !+0.00 +/- 0.82 (+0.00sig, 0.00)!    !-0.01 +/- 0.88 (-0.00sig, 0.00)!       -0.36      -2.486
CMS_NPS26009_NFStat_DY_BJetOS_2022           0.000000 +/- 0.000000    !+0.00 +/- 0.30 (+0.00sig, 0.00)!    !-0.00 +/- 0.31 (-0.00sig, 0.00)!       -0.24      -0.586
CMS_NPS26009_LightJetStat_DY_BJetOS_2017     0.000000 +/- 0.000000    !+0.00 +/- 0.66 (+0.00sig, 0.00)!    !-0.00 +/- 0.68 (-0.00sig, 0.00)!       -0.23      -1.213
pdf_alphas                                   0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !-0.00 +/- 1.00 (-0.00sig, 0.00)!       -0.17      -1.313
CMS_NPS26009_topmass_ttbar_BJetOS            0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.16      -1.259
QCDscale_fac_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !+0.00 +/- 0.98 (+0.00sig, 0.00)!       +0.14      +1.104
