diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run2Run3/fitDiagnostics.FitDiag_Run2Run3_alpha_M35.root, at 2026-08-26 02:12:00.159965 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': None, 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                            [-2.00, 100.00]                              n/a                   -0.00 +3.45 4.06       +1.00     +16.473
CMS_NPS26009_pdf_NNPDF31                     0.000000 +/- 0.000000    !+0.00 +/- 0.51 (+0.00sig, 0.00)!    !-0.00 +/- 0.67 (-0.00sig, 0.00)!       -0.65      -1.772
CMS_NPS26009_LightJetStat_DY_BJetOS_2023     0.000000 +/- 0.000000    !+0.00 +/- 0.59 (+0.00sig, 0.00)!    !-0.00 +/- 0.66 (-0.00sig, 0.00)!       -0.46      -1.221
QCDscale_ren_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.89 (+0.00sig, 0.00)!    !-0.01 +/- 0.98 (-0.00sig, 0.00)!       +0.44      +1.759
CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix     0.000000 +/- 0.000000    !+0.00 +/- 0.75 (+0.00sig, 0.00)!    !+0.00 +/- 0.78 (+0.00sig, 0.00)!       -0.27      -0.859
CMS_NPS26009_LightJetStat_DY_BJetOS_2022EE     0.000000 +/- 0.000000    !+0.00 +/- 0.83 (+0.00sig, 0.00)!    !-0.00 +/- 0.86 (-0.00sig, 0.00)!       -0.27      -0.941
CMS_NPS26009_LightJetStat_DY_BJetOS_2018     0.000000 +/- 0.000000    !+0.00 +/- 0.63 (+0.00sig, 0.00)!    !-0.00 +/- 0.65 (-0.00sig, 0.00)!       -0.23      -0.622
CMS_NPS26009_btag_fixedWP_bc_correlated_13p6TeV     0.000000 +/- 0.000000    !+0.00 +/- 0.95 (+0.00sig, 0.00)!    !-0.00 +/- 0.97 (-0.00sig, 0.00)!       -0.20      -0.798
CMS_NPS26009_LightJetStat_DY_BJetOS_2016preVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.57 (+0.00sig, 0.00)!    !-0.00 +/- 0.58 (-0.00sig, 0.00)!       -0.18      -0.417
QCDscale_fac_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       +0.17      +0.689
pdf_alphas                                   0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !-0.00 +/- 1.00 (-0.00sig, 0.00)!       -0.16      -0.663
