diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run2Run3/fitDiagnostics.FitDiag_Run2Run3_alpha_M45.root, at 2026-08-31 15:39:51.904306 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': None, 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                             [0.00, 100.00]                              n/a                  +0.03 +1.79 15.02       +1.00    +225.609
CMS_NPS26009_LightJetStat_DY_BJetOS_2018     0.000000 +/- 0.000000    !+0.00 +/- 0.55 (+0.00sig, 0.00)!    !-0.00 +/- 0.62 (-0.00sig, 0.00)!       -0.46      -4.274
CMS_NPS26009_LightJetStat_DY_BJetOS_2017     0.000000 +/- 0.000000    !+0.00 +/- 0.49 (+0.00sig, 0.00)!    !-0.00 +/- 0.55 (-0.00sig, 0.00)!       -0.46      -3.803
QCDscale_ren_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.86 (+0.00sig, 0.00)!    !+0.00 +/- 0.92 (+0.00sig, 0.00)!       +0.35      +4.833
CMS_NPS26009_LightJetStat_DY_BJetOS_2016preVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.52 (+0.00sig, 0.00)!    !-0.00 +/- 0.56 (-0.00sig, 0.00)!       -0.34      -2.866
CMS_NPS26009_LightJetStat_DY_BJetOS_2016postVFP     0.000000 +/- 0.000000    !+0.00 +/- 0.34 (+0.00sig, 0.00)!    !-0.00 +/- 0.35 (-0.00sig, 0.00)!       -0.27      -1.416
CMS_NPS26009_LightJetStat_DY_BJetOS_2023     0.000000 +/- 0.000000    !+0.00 +/- 0.44 (+0.00sig, 0.00)!    !-0.00 +/- 0.45 (-0.00sig, 0.00)!       -0.19      -1.318
QCDscale_fac_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.97 (+0.00sig, 0.00)!    !+0.01 +/- 0.97 (+0.00sig, 0.00)!       +0.15      +2.218
CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix     0.000000 +/- 0.000000    !+0.00 +/- 0.73 (+0.00sig, 0.00)!    !-0.00 +/- 0.74 (-0.00sig, 0.00)!       -0.12      -1.323
CMS_NPS26009_LightJetStat_DY_BJetOS_2022EE     0.000000 +/- 0.000000    !+0.00 +/- 0.83 (+0.00sig, 0.00)!    !-0.00 +/- 0.84 (-0.00sig, 0.00)!       -0.12      -1.487
CMS_NPS26009_topmass_ttbar_BJetOS            0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.10      -1.444
