diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run3/fitDiagnostics.FitDiag_Run3_alpha_M12.root, at 2026-08-26 01:36:35.717473 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': 'pulls_Run3_alpha_M12.root', 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                            [-2.00, 100.00]                              n/a                   +0.00 +6.08 5.88       +1.00     +34.534
CMS_NPS26009_LightJetStat_DY_BJetOS_2023     0.000000 +/- 0.000000    !+0.00 +/- 0.59 (+0.00sig, 0.00)!    !+0.00 +/- 0.71 (+0.00sig, 0.00)!       -0.57      -2.402
CMS_NPS26009_NFStat_DY_BJetOS_2022EE         0.000000 +/- 0.000000    !+0.00 +/- 0.78 (+0.00sig, 0.00)!    !-0.00 +/- 0.88 (-0.00sig, 0.00)!       -0.46      -2.400
CMS_NPS26009_NFStat_DY_BJetOS_2022           0.000000 +/- 0.000000    !+0.00 +/- 0.13 (+0.00sig, 0.00)!    !-0.00 +/- 0.14 (-0.00sig, 0.00)!       -0.45      -0.381
QCDscale_ren_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.93 (+0.00sig, 0.00)!    !-0.01 +/- 0.99 (-0.00sig, 0.00)!       +0.36      +2.074
CMS_NPS26009_LightJetStat_DY_BJetOS_2023BPix     0.000000 +/- 0.000000    !+0.00 +/- 0.77 (+0.00sig, 0.00)!    !-0.00 +/- 0.82 (-0.00sig, 0.00)!       -0.35      -1.664
CMS_NPS26009_bckgShape_QCD_BJetOS_2022EE     0.000000 +/- 0.000000    !-0.00 +/- 0.88 (-0.00sig, 0.00)!    !-0.00 +/- 0.93 (-0.00sig, 0.00)!       -0.33      -1.827
CMS_NPS26009_NFStat_DY_BJetOS_2023BPix       0.000000 +/- 0.000000    !+0.00 +/- 0.79 (+0.00sig, 0.00)!    !-0.00 +/- 0.83 (-0.00sig, 0.00)!       -0.33      -1.607
CMS_NPS26009_LightJetStat_DY_BJetOS_2022EE     0.000000 +/- 0.000000    !+0.00 +/- 0.93 (+0.00sig, 0.00)!    !-0.00 +/- 0.96 (-0.00sig, 0.00)!       -0.25      -1.380
CMS_NPS26009_NFStat_DY_BJetOS_2023           0.000000 +/- 0.000000    !+0.00 +/- 0.91 (+0.00sig, 0.00)!    !-0.00 +/- 0.94 (-0.00sig, 0.00)!       -0.21      -1.171
pdf_alphas                                   0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.12      -0.681
CMS_NPS26009_topmass_ttbar_BJetOS            0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.11      -0.648
CMS_NPS26009_bckgShape_QCD_BJetOS_2023BPix     0.000000 +/- 0.000000    !-0.00 +/- 0.97 (-0.00sig, 0.00)!    !+0.00 +/- 0.98 (+0.00sig, 0.00)!       -0.10      -0.548
CMS_NPS26009_bckgShape_QCD_BJetOS_2023       0.000000 +/- 0.000000    !-0.00 +/- 0.98 (-0.00sig, 0.00)!    !+0.00 +/- 0.98 (+0.00sig, 0.00)!       -0.10      -0.555
CMS_NPS26009_MCstat_other_BJetOS_2022EE      0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.10      -0.591
CMS_NPS26009_bckgNorm_QCD_BJetOS_2022EE      0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.08      -0.451
CMS_NPS26009_btag_fixedWP_bc_correlated_13p6TeV     0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       -0.07      -0.393
