diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run3/fitDiagnostics.FitDiag_Run3_alpha_M55.root, at 2026-08-31 14:41:49.084337 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': None, 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                             [0.00, 100.00]                              n/a                   +0.00 +0.34 5.91       +1.00     +34.898
CMS_NPS26009_LightJetStat_DY_BJetOS_2023     0.000000 +/- 0.000000    !-0.00 +/- 0.72 (-0.00sig, 0.00)!    !-0.00 +/- 0.77 (-0.00sig, 0.00)!       -0.35      -1.601
CMS_NPS26009_btag_fixedWP_bc_correlated_13p6TeV     0.000000 +/- 0.000000    !+0.00 +/- 0.93 (+0.00sig, 0.00)!    !-0.00 +/- 0.96 (-0.00sig, 0.00)!       -0.24      -1.367
QCDscale_ren_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.95 (+0.00sig, 0.00)!    !+0.00 +/- 0.97 (+0.00sig, 0.00)!       +0.23      +1.313
CMS_NPS26009_LightJetStat_DY_BJetOS_2022EE     0.000000 +/- 0.000000    !-0.00 +/- 0.92 (-0.00sig, 0.00)!    !-0.00 +/- 0.93 (-0.00sig, 0.00)!       -0.18      -0.985
pdf_alphas                                   0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.10      -0.581
CMS_NPS26009_topmass_ttbar_BJetOS            0.000000 +/- 0.000000    !-0.00 +/- 0.99 (-0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.10      -0.558
CMS_NPS26009_pdf_NNPDF31                     0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.10      -0.607
CMS_NPS26009_MCstat_ttbar_BJetOS_2023BPix     0.000000 +/- 0.000000    !+0.00 +/- 0.96 (+0.00sig, 0.00)!    !-0.00 +/- 0.97 (-0.00sig, 0.00)!       -0.10      -0.572
QCDscale_fac_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.99 (+0.00sig, 0.00)!    !+0.00 +/- 0.99 (+0.00sig, 0.00)!       +0.08      +0.461
CMS_NPS26009_MCstat_ttbar_BJetOS_2023        0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !-0.00 +/- 0.98 (-0.00sig, 0.00)!       -0.07      -0.396
CMS_NPS26009_MCstat_ttbar_BJetOS_2022EE      0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !-0.00 +/- 0.98 (-0.00sig, 0.00)!       -0.07      -0.421
